id,scrape_timestamp,scrape_source,scrape_company_name,scrape_company_domain,job_title_scrape,scrape_job_title,scrape_job_url,scrape_job_location,scrape_category,scrape_keyword,scrape_job_intent,scrape_type_of_job,scrape_job_description,scrape_posted_time,scrape_country,scrape_job_post_date,scrape_job_scrape_date,scrape_timezone,scrape_company_size
1382465,2023-12-14T07:50:12.305Z,Indeed,"Quadrint,",quadrint.com,Full Stack Software Developer,Full Stack Software Developer,https://www.indeed.com/rc/clk?jk=6e78a7f52effefb3&bb=gg3T7WDS0EfL7DCbvULOB5XJ0IPBxOuVyueveQud98DOG_3QOwdULErxRkvV0JkPKqvvDeWEebmZ3eWl4uAKD-XzJZ2k1YntYqY598dnpDw%3D&xkcb=SoDc67M3HzhmzSTRmJ0NbzkdCdPP&fccid=d790a02569d5b88c&vjs=3,"Herndon, VA 20171",Web App Development / Javascript,Angular Full stack Developer,general_engineering,N/A,,,"Herndon, VA 20171",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382470,2023-12-14T07:50:47.992Z,Indeed,Schlumberger,slb.com,Full Stack Software Engineer,Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=cc28b0f803143adf&bb=gg3T7WDS0EfL7DCbvULOBxR7IT507sOhLLtNxofF1qoCfsbl6KgYwqfuprNLc_72rJKKqvClUp0WIz_Lmm5hMLBkzWE8uagEvMgcrDu1unQ%3D&xkcb=SoAc67M3HzhmzSTRmJ0AbzkdCdPP&fccid=1a6c05c38b3b5549&vjs=3,"Houston, TX",Web App Development / Javascript,Angular Full stack Developer,general_engineering,N/A,,,"Houston, TX",12/14/2023,12/14/2023,Central Standard Time,N/A
1382503,2023-12-14T07:56:00.906Z,Indeed,Coalition Technologies,coalitiontechnologies.com,WORDPRESS DEVELOPER,WORDPRESS DEVELOPER,https://www.indeed.com/rc/clk?jk=2db84445ca4f8019&bb=XDjUdCHf317GuJJwPj3_AhyM7CvRHIfm4AMy2ip4CEK6Us3RZ2Kah0X_XPkZW70w&xkcb=SoDQ67M3HziEmR2NpZ0IbzkdCdPP&fccid=005cb7e862008be9&vjs=3,"3750 Robertson Blvd Ste 200, Culver City, CA 90232",Web App Development / Javascript,ReactJS Developer,web_development,$15 - $35 an hour - Full-time,,,"3750 Robertson Blvd Ste 200, Culver City, CA 90232",12/14/2023,12/14/2023,Pacific Standard Time,N/A
1382519,2023-12-14T07:58:54.536Z,Indeed,SIS,sisense.com,"UI Developer,UI Developer,UI Developer,UI Developer,UI Developer,UI Developer,UI Developer",UI Developer,https://www.indeed.com/rc/clk?jk=340e827763ee82e3&bb=fwPhJ7GkPHYI_Y5jJaZGyGGT2_fsBSaVYT8vl9RSBUyKJrODS5FRL6_PW277rvyw&xkcb=SoDp67M3HziiGYwk8B0LbzkdCdPP&fccid=4ac0cc46b49757a0&vjs=3,"Austin, TX",Web App Development / Javascript,React UI Developer,js_engineeering,N/A,,,"Austin, TX",12/14/2023,12/14/2023,Central Standard Time,N/A
1382522,2023-12-14T07:59:14.247Z,Indeed,Ascendio,ascend.io,"UI Developer,UI Developer,UI Developer,UI Developer,UI Developer",UI Developer,https://www.indeed.com/rc/clk?jk=990684367fca5ea0&bb=ymImmR0n2SiroZ1mgBd86DdlnPXDG-YJTBuPrvAMBO8zeaEpaJ3wFODLKDWpFFEV&xkcb=SoBB67M3HziiGbwk8B0KbzkdCdPP&fccid=901337852c4e0e82&vjs=3,"Tampa, FL",Web App Development / Javascript,React UI Developer,js_engineeering,"$70,000 - $80,000 a year - Contract",,,"Tampa, FL",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382529,2023-12-14T08:00:06.638Z,Indeed,Lockheed Martin Corporatio,lockheedmartin.com,"UI/UX Software Developer,UI/UX Software Developer,UI/UX Software Developer",UI/UX Software Developer,https://www.indeed.com/rc/clk?jk=049cd4b8d0fbbdac&bb=mIUtXS0H5yJhvdk4232OnI4ZlvIb_DNwFGMdqEJnm5mmb-IrYp0g0AW3ErwdBrra&xkcb=SoAE67M3HziiGawk8B0NbzkdCdPP&fccid=aeb15e43a6800b9d&vjs=3,"Fort Worth, TX",Web App Development / Javascript,React UI Developer,ui_ux,Full-time,,,"Fort Worth, TX",12/14/2023,12/14/2023,Central Standard Time,N/A
1382531,2023-12-14T08:00:19.669Z,Indeed,Tesla,tesla.com,"Frontend Engineer, Tesla Track,Frontend Engineer, Tesla Track","Frontend Engineer, Tesla Track",https://www.indeed.com/rc/clk?jk=963effa3d4aa7fd4&bb=7PFYUzDVmnkgXVfmi6YlC1BgWCsEF79BgIdu5TzQRLmB1w1tFDBJcy_3oRYqmeEP&xkcb=SoDf67M3HziiGFQk8B0ObzkdCdPP&fccid=86e9be6ce380173e&vjs=3,"Fremont, CA",Web App Development / Javascript,React UI Developer,review_intent,Full-time,,,"Fremont, CA",12/14/2023,12/14/2023,Pacific Standard Time,N/A
1382532,2023-12-14T08:00:26.027Z,Indeed,W.C. Bradley Co,wcbradley.com,"Sr. Mobile Application Developer,Sr. Mobile Application Developer",Sr. Mobile Application Developer,https://www.indeed.com/rc/clk?jk=df6d9eaca61aa306&bb=eDjv0vhUAvkfRQUISVZQrvUv4UFObmTR2dsAPQKnPTrykEI9-Ag4ILIVq3aFty9M&xkcb=SoCJ67M3HziiGFwk8B0KbzkdCdPP&fccid=5d568d8cd070a7f3&vjs=3,"1017 Front Ave, Columbus, GA 31901",Web App Development / Javascript,React UI Developer,mobile_engineering,N/A,,,"1017 Front Ave, Columbus, GA 31901",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382537,2023-12-14T08:01:33.225Z,Indeed,Absolute Information Technologies,absoluting.com,Solutions Architect,Solutions Architect,https://www.indeed.com/rc/clk?jk=c8e542b48b037ece&bb=Vrc3cUiANnehLK5cabPuIG2EnXScx3zrgWdIbSjjtxjz2ktsWf9mCYqgF7aYVYV-cmjWYy5EPX93GgvEhI3z-Asqrx0MVQkHK5ZGeo-_4k8%3D&xkcb=SoAe67M3HziyLQwlUh0IbzkdCdPP&fccid=0f328f0acca894db&cmp=Absolute-Information-Technologies-INC&ti=Software+Architect&vjs=3,"San Francisco, CA",Web App Development / Javascript,React Architect,general_engineering,$59.31 - $113.28 an hour - Contract,,,"San Francisco, CA",12/14/2023,12/14/2023,Pacific Standard Time,N/A
1382538,2023-12-14T08:01:40.676Z,Indeed,T Unlock Consulting,itunlock.com,Technical Architect,Technical Architect,https://www.indeed.com/rc/clk?jk=55a4d4c79a4d6e55&bb=Vrc3cUiANnehLK5cabPuIFI2OQMdfrBpfrOU-jOvU5mNIvd9lWT4pRiGLDetvsiXzjb6wyaAkgkufkkCIIfQayWxP3c9Q99sjs13VornFTU%3D&xkcb=SoCQ67M3HziyLQwlUh0PbzkdCdPP&fccid=131d312cf5163a1a&cmp=IT-UNLOCK-CONSULTING-INC.&ti=Software+Architect&vjs=3,"Dallas, TX",Web App Development / Javascript,React Architect,general_engineering,$64 - $120 an hour - Contract,,,"Dallas, TX",12/14/2023,12/14/2023,Central Standard Time,N/A
1382539,2023-12-14T08:01:48.604Z,Indeed,The Pure Talent,thepuretalent.co.uk,Solution / Enterprise Architect,Solution / Enterprise Architect,https://www.indeed.com/rc/clk?jk=df9f2ec6051c33fd&bb=Vrc3cUiANnehLK5cabPuIMcFEBhrSLSdc1aNRL4AHhPgAZDlzwvL5zot-IbwgP3CtVL49TTCRybVUNSX2tmrB4rmMfTEX_KqfF-Nz5Ianls%3D&xkcb=SoAk67M3HziyLQwlUh0ObzkdCdPP&fccid=06dce38009561f2b&cmp=Pure-talent&ti=Software+Architect&vjs=3,"Minneapolis, MN",Web App Development / Javascript,React Architect,general_engineering,"$70 - $80 an hour - Full-time, Contract",,,"Minneapolis, MN",12/14/2023,12/14/2023,Central Standard Time,N/A
1382543,2023-12-14T08:03:14.604Z,Indeed,Level,levels.fyi,"Engineering Lead, Member","Engineering Lead, Member",https://www.indeed.com/rc/clk?jk=b833e6eaefdffd37&bb=32Czv6vkKwhZ4KCgjmDMIwkyfB8HEVWktHJBR-NF35UUGxc4zz7Yb3WgbbC5DK-t&xkcb=SoD_67M3HzjCT_yCZJ0JbzkdCdPP&fccid=bc25fff2757c98b2&vjs=3,Remote,Web App Development / Javascript,React Team Lead,general_engineering,N/A,,,Remote,12/14/2023,12/14/2023,,N/A
1382547,2023-12-14T08:03:50.757Z,Indeed,Fulcrum Digital,fulcrumdigital.com,"Sr. Full Stack Developer - St Louis location,Jr. SRE",Jr. SRE,https://www.indeed.com/rc/clk?jk=a2ecc8872a0ff604&bb=cEgmG_zX7w5Uam3Pl_FcxZ31OGplpZkOe6mJx4nOSAl8E0Wth7ladet8769sr-z1&xkcb=SoCp67M3HzjCT-yCZJ0KbzkdCdPP&fccid=e0f73457a5c9e747&vjs=3,"O'Fallon, MO",Web App Development / Javascript,React Team Lead,backend,N/A,,,"O'Fallon, MO",12/14/2023,12/14/2023,Central Standard Time,N/A
1382548,2023-12-14T08:03:56.414Z,Indeed,Bellwood Labs,bellwood.io,Lead Software Engineer (Java),Lead Software Engineer (Java),https://www.indeed.com/rc/clk?jk=34656e92033522d5&bb=cEgmG_zX7w4Eo2nSOKDJaMG_uzH82sFflBX-XTO4OXNMUO8zAFVytZFwkLFMQ_G5&xkcb=SoAO67M3HzjCT-yCZJ0PbzkdCdPP&fccid=dbf78ae63518f753&cmp=Bellwood-Labs&ti=Software+Engineer&vjs=3,Remote,Web App Development / Javascript,React Team Lead,backend,"$125,000 - $155,000 a year - Full-time",,,Remote,12/14/2023,12/14/2023,,N/A
1382550,2023-12-14T08:04:13.236Z,Indeed,Lamb Westo,lambweston.com,Assistant Manager Warehouse,Assistant Manager Warehouse,https://www.indeed.com/rc/clk?jk=b9b918b3359c99da&bb=BJLHjUyA3iFTI_UcMPeq1kS-XucsqqtMVvJePzW88MNgP8tsV-tz2iCGBmPAVoKR&xkcb=SoAf67M3HzjCT5SCZJ0KbzkdCdPP&fccid=1f4c92b4e554ec3b&vjs=3,"American Falls, ID",Web App Development / Javascript,React Team Lead,review_intent,Full-time,,,"American Falls, ID",12/14/2023,12/14/2023,Mountain Standard Time,N/A
1382551,2023-12-14T08:04:18.784Z,Indeed,onbe,onbeing.org,"Sr. Staff Engineer, Tech Lead (Java),Sr. Staff Engineer, Tech Lead (Java)","Sr. Staff Engineer, Tech Lead (Java)",https://www.indeed.com/rc/clk?jk=b0df79ae11d5c87c&bb=BJLHjUyA3iFE-SO6_H2wxYYOCkPCfYGlUzQs_4o0a1M51GYZQfNoLvNf7BUj1s3b&xkcb=SoDR67M3HzjCT5SCZJ0abzkdCdPP&fccid=3f00d8aae0ef1941&vjs=3,Remote,Web App Development / Javascript,React Team Lead,backend,"$123,570 - $168,000 a year",,,Remote,12/14/2023,12/14/2023,,N/A
1382553,2023-12-14T08:04:32.526Z,Indeed,Bath & Body Works,bathandbodyworks.com,Inventory Deployment Analyst,Inventory Deployment Analyst,https://www.indeed.com/rc/clk?jk=655004f126ee055f&bb=_AW9qy0OI2TtcPsyBZG3a3WBVY4L7dqY8XN0B5WRkEKcL7gPDUnn_n6QYITAQMIm&xkcb=SoDu67M3HzjCT5yCZJ0LbzkdCdPP&fccid=08ff7fcad836cdbb&vjs=3,"Columbus, OH",Web App Development / Javascript,React Team Lead,general_advertising,Full-time,,,"Columbus, OH",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382554,2023-12-14T08:04:39.170Z,Indeed,Syensqo,syensqo.com,Production,Production,https://www.indeed.com/rc/clk?jk=fa444a914a5de4cc&bb=_AW9qy0OI2RHeuzKHJJVn7Omz_Th4Vk3QPaH6P1omCaI2FdGNagLUunA5XsDIM3J&xkcb=SoCH67M3HzjCT5yCZJ0ebzkdCdPP&fccid=0354b461c4536ec9&vjs=3,"Winder, GA",Web App Development / Javascript,React Team Lead,project_managment,N/A,,,"Winder, GA",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382561,2023-12-14T08:06:01.705Z,Indeed,Hollstadt & Associates,hollstadt.com,"Full Stack Engineer,Full Stack Engineer",Full Stack Engineer,https://www.indeed.com/rc/clk?jk=3d4c46d25256886e&bb=48rvX9HAD5K_8Nb_SxvzPk61w-dbnDQNfWdoqASocYiHLkLBCVis8ImvlYjhzuv-&xkcb=SoCw67M3HzjQtJxjzB0KbzkdCdPP&fccid=078ee0ba5466284c&vjs=3,Remote,Web App Development / Javascript,React Full stack Developer,backend,N/A,,,Remote,12/14/2023,12/14/2023,,N/A
1382562,2023-12-14T08:06:08.513Z,Indeed,Baer Group,baergroup.com,Full Stack Engineer,Full Stack Engineer,https://www.indeed.com/rc/clk?jk=0b1e3708d1b83c47&bb=48rvX9HAD5J-8Hm2QEm4Hf2Dy2oKK3fLbY7vfa_NiRk7cNGfOta2unzggV53ioqP&xkcb=SoCZ67M3HzjQtJxjzB0IbzkdCdPP&fccid=4598a69382835be8&vjs=3,"Atlanta, GA",Web App Development / Javascript,React Full stack Developer,backend,N/A,,,"Atlanta, GA",12/14/2023,12/14/2023,Eastern Standard Time,N/A
1382568,2023-12-14T08:06:51.864Z,Indeed,Netflix,netflix.com,Full Stack Software Engineer (L4/L5) - Revenue Infrastructure,Full Stack Software Engineer (L4/L5) - Revenue Infrastructure,https://www.indeed.com/rc/clk?jk=cb50a205ff2a1f81&bb=lO6zutCKgGfaoda1wCDd65_zXdDvtyqmRRyLW1p1LrPipzBwSAj4HzJerwh4uVh6&xkcb=SoAE67M3HzjQtIRjzB0MbzkdCdPP&fccid=66403b30a2c0d89c&vjs=3,Remote,Web App Development / Javascript,React Full stack Developer,general_engineering,Full-time,,,Remote,12/14/2023,12/14/2023,,N/A
1382571,2023-12-14T08:07:09.844Z,Indeed,"J. J. Keller & Associates,",jjkeller.com,"Sr. Full Stack Developer (.NET / React),Sr. Full Stack Developer (.NET / React),Sr. Full Stack Developer (.NET / React)",Sr. Full Stack Developer (.NET / React),https://www.indeed.com/rc/clk?jk=69c499c9b4dfb52d&bb=2S7n2-Qf32EljyEy_KQtdug5Pj5w965e8JIG1H-xqSdt_xQa9-EUOqHXsPIv56-2&xkcb=SoD167M3HzjQtIxjzB0NbzkdCdPP&fccid=9837d2e21e204815&vjs=3,"Chicago, IL 60601",Web App Development / Javascript,React Full stack Developer,js_engineeering,"$107,850 - $126,870 a year - Full-time",,,"Chicago, IL 60601",12/14/2023,12/14/2023,Central Standard Time,N/A
1382584,2023-12-14T08:08:59.834Z,Indeed,Atiba,atib.ly,Python / Django Developer,Python / Django Developer,https://www.indeed.com/rc/clk?jk=c02372042e3c68c9&bb=6gt0G-UC2q2Uird-pL7u6qeaDtMt-73NSMhST3C7SjiEo4VfpT480LFB6J8kQFb_&xkcb=SoAg67M3HzjgkETCtR0PbzkdCdPP&fccid=6e535d6f86782429&vjs=3,Remote,Web App Development / Javascript,Vue js Developer,backend,Full-time,,,Remote,12/14/2023,12/14/2023,,N/A
1382589,2023-12-14T08:10:26.398Z,Indeed,Juniper Networks,juniper.net,"UI/UX Developer,UI/UX Developer,UI/UX Developer,Web Scrum Master,UI/UX Developer,UI/UX Developer,UI/UX Developer,UI/UX Developer,UI/UX Developer,UI/UX Developer",UI/UX Developer,https://www.indeed.com/rc/clk?jk=79933fb54682cd0b&bb=urPUzH_oZmeLhf7a_0QfrIzNsmskx6M1_5JVzkUPQi-VOKjusrzN-XmQFpTPsZZ4&xkcb=SoCT67M3HzkNlJzswZ0LbzkdCdPP&fccid=e9e363d6332bc1cd&vjs=3,"Miami, FL 33101",Web App Development / Javascript,Vue js UI Developer,ui_ux,"$112,640 - $161,920 a year",,,"Miami, FL 33101",12/13/2023,12/14/2023,Eastern Standard Time,N/A
1382592,2023-12-14T08:10:45.198Z,Indeed,Wurth Industry North America,wurthindustry.com,".NET Developer,.NET Developer",.NET Developer,https://www.indeed.com/rc/clk?jk=1f1425c1ada67605&bb=hK4JccohoiZgMfnSwQCGjagOMcQ36n337YECSEzlkFJuh2SMaDVYC0qnUFUCgqyC&xkcb=SoDs67M3HzkNlIzswZ0KbzkdCdPP&fccid=d81ec8e4ad62f933&vjs=3,"Brooklyn Park, MN 55445",Web App Development / Javascript,Vue js UI Developer,backend,Full-time,,,"Brooklyn Park, MN 55445",12/13/2023,12/14/2023,Central Standard Time,N/A
1382595,2023-12-14T08:11:57.192Z,Indeed,Nasscomm,nasscommercial.com,"Automation Consultant,Automation Consultant",Automation Consultant,https://www.indeed.com/rc/clk?jk=79ae17702522ea69&bb=wpfLoqpBeQy2zoqbf9yHC38wPqcOHCRoTsLhWPAYbJ54o56Tdg3p6HnHeRXPjTrV&xkcb=SoCX67M3HzkCXmTs2Z0LbzkdCdPP&fccid=d7e2af7844b913ad&cmp=Nasscomm&ti=Automation+Consultant&vjs=3,Remote,Web App Development / Javascript,Vue js Consultant,review_intent,$45 - $55 an hour - Contract,,,Remote,12/14/2023,12/14/2023,,N/A
